level_0,Symbols,Close,High,Low,Open,Volume
2020-01-02,AMZN,94.9005,94.9005,93.2075,93.75,80718200.0
2020-01-02,BNTX,38.1343,38.1343,35.0241,35.4104,141010.46406683
2020-01-02,MRNA,19.23,19.81,18.88,19.57,1229434.0
2020-01-03,AMZN,93.7485,94.31,93.225,93.225,75332080.0
2020-01-03,BNTX,39.6696,40.8583,36.074,37.639,177733.29572098
2020-01-03,MRNA,18.89,19.36,18.72,19.02,1750976.0
2020-01-06,AMZN,95.144,95.1845,93.0,93.0,81313960.0
2020-01-06,BNTX,44.1565,44.5725,39.7191,39.729,336482.25850017
2020-01-06,MRNA,18.13,18.74,18.01,18.7,1606505.0
2020-01-07,AMZN,95.343,95.6945,94.602,95.225,82680200.0
2020-01-07,BNTX,42.9283,48.386,40.7888,46.9497,567776.33018519
2020-01-07,MRNA,17.78,18.32,17.68,18.15,1461935.0
2020-01-08,AMZN,94.5985,95.55,94.322,94.902,70239320.0
2020-01-08,BNTX,44.6716,45.8899,43.7603,43.8792,195805.96876879
2020-01-08,MRNA,17.98,18.08,17.76,17.99,1041551.0
2020-01-09,AMZN,95.0525,95.891,94.79,95.4945,63499240.0
2020-01-09,BNTX,42.859,46.2663,42.3043,46.1078,237171.90546438
2020-01-09,MRNA,18.4,18.55,17.9,18.0,1531344.0
2020-01-10,AMZN,94.158,95.347,94.0,95.2685,57139180.0
2020-01-10,BNTX,39.3031,44.5626,37.8471,44.5626,372679.09369278
2020-01-10,MRNA,19.14,21.0,19.05,21.0,4504819.0
2020-01-13,AMZN,94.565,94.9,94.04,94.5655,55716880.0
2020-01-13,BNTX,37.4707,40.9275,34.9251,40.6204,464000.55997212
2020-01-13,MRNA,20.26,20.36,18.6,19.26,2207943.0
2020-01-14,AMZN,93.472,94.3555,92.9275,94.294,68927620.0
2020-01-14,BNTX,34.202,35.138,32.9044,34.9647,268897.26593889
2020-01-14,MRNA,20.0,20.4979,19.55,20.45,1782859.0
2020-01-15,AMZN,93.101,93.943,92.7545,93.6125,57931840.0
2020-01-15,BNTX,34.2218,39.4715,33.2808,34.9647,364484.25054832
2020-01-15,MRNA,20.24,20.58,19.94,19.94,2054963.0
2020-01-16,AMZN,93.897,94.2795,93.301,94.1495,53189860.0
2020-01-16,BNTX,31.9437,35.559,30.9779,35.4104,698823.149187
2020-01-16,MRNA,21.01,21.87,20.77,21.68,4928102.0
2020-01-17,AMZN,93.236,94.332,92.8625,94.2945,79946800.0
2020-01-17,BNTX,32.8648,33.2808,30.0419,32.7361,621160.4278752
2020-01-17,MRNA,20.62,21.5,20.55,21.5,3348525.0
2020-01-21,AMZN,94.6,94.7135,93.0,93.25,74155700.0
2020-01-21,BNTX,36.1929,36.1929,33.1949,33.469,267017.40910324
2020-01-21,MRNA,20.94,21.49,20.645,20.79,2089578.0
2020-01-22,AMZN,94.373,95.125,94.167,94.8045,64325140.0
2020-01-22,BNTX,38.5107,38.6593,36.4009,37.2527,321273.79267188
2020-01-22,MRNA,21.97,23.2,21.7,22.08,10920657.0
2020-01-23,AMZN,94.229,94.499,93.638,94.2555,49692260.0
2020-01-23,BNTX,36.3514,37.1933,34.9746,36.8565,194796.37863149
2020-01-23,MRNA,21.47,22.65,21.4,22.17,3663943.0
2020-01-24,AMZN,93.082,94.7495,92.372,94.5685,75323620.0
2020-01-24,BNTX,34.6576,35.559,33.2475,34.9845,211697.92712003
2020-01-24,MRNA,21.12,21.8793,20.9,21.6,2947764.0
2020-01-27,AMZN,91.417,92.05,90.767,91.0,70570180.0
2020-01-27,BNTX,32.8846,34.207,32.4389,32.9243,121145.76852531
2020-01-27,MRNA,22.74,23.12,21.12,22.1,10294739.0
2020-01-28,AMZN,92.6625,92.9055,91.501,92.025,56160800.0
2020-01-28,BNTX,33.8949,34.4991,32.2903,33.7167,166755.01256798
2020-01-28,MRNA,22.36,23.5,21.8501,23.5,5649269.0
2020-01-29,AMZN,92.9,93.7375,92.751,93.2,42027800.0
2020-01-29,BNTX,31.4979,33.6275,31.4385,33.6275,185998.81017505
2020-01-29,MRNA,20.55,22.34,20.45,22.23,4675832.0
2020-01-30,AMZN,93.534,93.6435,92.5305,92.9,126548760.0
2020-01-30,BNTX,29.616,30.8937,28.3085,30.4084,230781.19989527
2020-01-30,MRNA,20.99,21.74,20.8,21.05,3061810.0
2020-01-31,AMZN,100.436,102.786,100.114,102.574,311345660.0
2020-01-31,BNTX,28.9325,30.656,28.2293,30.0716,140052.36302653
